"opioid_type";"race";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"other_op";"total";2;0;1;0;   2;  14;10000;       0.4231000;       0.0166667
"other_op";"white";0;0;3;0;   6;  10;10000;       0.4890000;       0.0166667
"other_op";"white";1;0;2;0;   4;  12;10000;       0.3502000;       0.0166667
"other_op";"white";2;0;1;0;   2;  14;10000;       0.2297000;       0.0166667
"synth";"black";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"synth";"black";1;1;3;1;   4;  10;10000;       0.0674000;       0.0250000
"synth";"black";2;1;2;1;   2;  12;10000;       0.0696000;       0.0250000
"synth";"total";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"synth";"total";1;1;3;3;   4;  10;10000;       0.0028000;       0.0250000
"synth";"total";2;2;3;2;   2;  10;10000;       0.8218000;       0.0500000
"synth";"white";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"synth";"white";1;1;3;3;   4;  10;10000;       0.0011000;       0.0250000
"synth";"white";2;2;3;2;   2;  10;10000;       0.4747000;       0.0500000
