"opioid_type";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value"
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;2;2003;2001;2004;-383.665283;78.463214;-4.889747;0.000032;0.190267;0.039143;4.860834;0.000035;-0.166349;0.051018;-3.260624;0.002769
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;3;2006;2005;2007;124.275543;4.413675;28.156931;0.000000;-0.062944;0.002194;-28.694775;0.000000;-0.253211;0.039204;-6.458757;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;0;NA;NA;NA;-270.952062;37.678379;-7.191182;0.000000;0.136170;0.018946;7.187311;0.000000;NA;NA;NA;NA
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;1;1994;1991;1996;20.490222;13.020398;1.573702;0.126045;-0.009990;0.006496;-1.537823;0.134574;-0.146160;0.020029;-7.297550;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;2;2013;2012;2014;-780.458074;122.427655;-6.374851;0.000000;0.387898;0.060749;6.385285;0.000000;0.397888;0.061095;6.512599;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;3;2017;2015;2017;-369.164168;142.211540;-2.595881;0.014468;0.183985;0.070452;2.611486;0.013943;-0.203914;0.093026;-2.191999;0.036277
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;0;NA;NA;NA;-159.275202;47.860250;-3.327923;0.002813;0.079707;0.024111;3.305830;0.002969;NA;NA;NA;NA
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;1;1990;1981;2003;-400.788169;480.380245;-0.834314;0.412332;0.201070;0.241207;0.833601;0.412726;0.121363;0.242409;0.500656;0.621174
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;2;1993;1989;2008;-150.637819;11.019403;-13.670234;0.000000;0.075556;0.005501;13.734068;0.000000;-0.125514;0.241269;-0.520226;0.607672
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;3;2009;2004;2011;-61.440169;51.422375;-1.194814;0.243834;0.031156;0.025564;1.218759;0.234780;-0.044399;0.026149;-1.697902;0.102457
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;4;2014;2012;2014;-552.511764;126.059223;-4.382954;0.000199;0.274985;0.062542;4.396808;0.000193;0.243829;0.067565;3.608804;0.001406
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;5;2017;2016;2017;-75.553351;99.760618;-0.757346;0.456214;0.038516;0.049423;0.779325;0.443406;-0.236469;0.079713;-2.966521;0.006719
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;0;NA;NA;NA;-145.665456;49.363480;-2.950875;0.006972;0.072828;0.024870;2.928383;0.007352;NA;NA;NA;NA
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;1;1990;1981;2004;-413.502654;504.057992;-0.820347;0.420092;0.207419;0.253095;0.819530;0.420548;0.134592;0.254314;0.529233;0.601505
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;2;1993;1988;2008;-176.313055;11.177734;-15.773595;0.000000;0.088408;0.005580;15.843772;0.000000;-0.119011;0.253157;-0.470109;0.642521
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;3;2009;2005;2011;-61.008161;50.439808;-1.209524;0.238242;0.031014;0.025076;1.236806;0.228125;-0.057394;0.025689;-2.234189;0.035047
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;4;2014;2012;2014;-535.017304;125.436102;-4.265258;0.000269;0.266371;0.062233;4.280210;0.000259;0.235357;0.067095;3.507812;0.001807
"nonh_nonm";"white";5;41;12;29;480.966838;16.585063;Uncorrelated;5;2017;2016;2017;-32.961854;102.506705;-0.321558;0.750571;0.017459;0.050783;0.343792;0.733996;-0.248912;0.080324;-3.098861;0.004901
