age,race,hispanic,year,pop_est
30,asian_pacific,0,2000,1050810
30,asian_pacific,1,2000,33376
30,black,0,2000,2624684
30,black,1,2000,127546
30,white,0,2000,13526850
30,white,1,2000,2937603
35,american_indian,0,2000,187721
35,american_indian,1,2000,52452
35,asian_pacific,0,2000,1002245
35,asian_pacific,1,2000,30056
35,black,0,2000,2836592
35,black,1,2000,113551
35,white,0,2000,15773570
35,white,1,2000,2654665
40,american_indian,0,2000,182068
40,american_indian,1,2000,43691
40,asian_pacific,0,2000,932013
40,asian_pacific,1,2000,24566
40,black,0,2000,2730834
40,black,1,2000,94574
40,white,0,2000,16334514
40,white,1,2000,2175731
45,american_indian,0,2000,156501
45,american_indian,1,2000,32971
45,asian_pacific,0,2000,819970
45,asian_pacific,1,2000,18792
45,black,0,2000,2303488
45,black,1,2000,74789
45,white,0,2000,15140133
45,white,1,2000,1672883
50,american_indian,0,2000,129274
50,american_indian,1,2000,23415
50,asian_pacific,0,2000,688020
50,asian_pacific,1,2000,13791
50,black,0,2000,1844194
50,black,1,2000,55907
50,white,0,2000,13731719
50,white,1,2000,1293127
55,american_indian,0,2000,91591
55,american_indian,1,2000,14665
55,asian_pacific,0,2000,475396
55,asian_pacific,1,2000,8721
55,black,0,2000,1321767
55,black,1,2000,36612
55,white,0,2000,10702948
55,white,1,2000,914237
60,american_indian,0,2000,67849
60,american_indian,1,2000,10185
60,asian_pacific,0,2000,373727
60,asian_pacific,1,2000,6406
60,black,0,2000,1072159
60,black,1,2000,28819
60,white,0,2000,8590601
60,white,1,2000,713383
65,american_indian,0,2000,49480
65,american_indian,1,2000,7472
65,asian_pacific,0,2000,296715
65,asian_pacific,1,2000,4749
65,black,0,2000,887599
65,black,1,2000,21588
65,white,0,2000,7685794
65,white,1,2000,570512
70,american_indian,0,2000,36570
70,american_indian,1,2000,5597
70,asian_pacific,0,2000,237908
70,asian_pacific,1,2000,3545
70,black,0,2000,735564
70,black,1,2000,16391
70,white,0,2000,7366773
70,white,1,2000,457680
75,american_indian,0,2000,25670
75,american_indian,1,2000,3673
75,asian_pacific,0,2000,168747
75,asian_pacific,1,2000,2288
75,black,0,2000,556639
75,black,1,2000,10931
75,white,0,2000,6355486
75,white,1,2000,315185
80,american_indian,0,2000,14882
80,american_indian,1,2000,1911
80,asian_pacific,0,2000,95998
80,asian_pacific,1,2000,1311
80,black,0,2000,350330
80,black,1,2000,6411
80,white,0,2000,4339809
80,white,1,2000,173888
85,american_indian,0,2000,12661
85,american_indian,1,2000,1562
85,asian_pacific,0,2000,68252
85,asian_pacific,1,2000,1207
85,black,0,2000,314794
85,black,1,2000,5268
85,white,0,2000,3714349
85,white,1,2000,144379
0,american_indian,0,2001,194538
0,american_indian,1,2001,79661
0,asian_pacific,0,2001,830290
0,asian_pacific,1,2001,58121
0,black,0,2001,2931205
0,black,1,2001,188813
0,white,0,2001,11435173
0,white,1,2001,3580416
5,american_indian,0,2001,211701
5,american_indian,1,2001,77848
5,asian_pacific,0,2001,820284
5,asian_pacific,1,2001,52086
5,black,0,2001,3199998
5,black,1,2001,181777
5,white,0,2001,12244765
5,white,1,2001,3384903
10,american_indian,0,2001,236163
10,american_indian,1,2001,77932
10,asian_pacific,0,2001,826014
10,asian_pacific,1,2001,46067
10,black,0,2001,3307130
10,black,1,2001,163413
10,white,0,2001,13213931
10,white,1,2001,3108028
15,american_indian,0,2001,224736
15,american_indian,1,2001,75733
15,asian_pacific,0,2001,870399
15,asian_pacific,1,2001,41831
15,black,0,2001,3020466
15,black,1,2001,143568
15,white,0,2001,13052562
15,white,1,2001,3026989
20,american_indian,0,2001,186271
20,american_indian,1,2001,72469
20,asian_pacific,0,2001,984917
20,asian_pacific,1,2001,44161
20,black,0,2001,2774645
20,black,1,2001,157188
20,white,0,2001,12244561
20,white,1,2001,3293074
25,american_indian,0,2001,161927
25,american_indian,1,2001,66218
25,asian_pacific,0,2001,1124897
25,asian_pacific,1,2001,40096
25,black,0,2001,2481006
25,black,1,2001,144383
25,white,0,2001,11543224
25,white,1,2001,3257596
30,american_indian,0,2001,167962
30,american_indian,1,2001,62566
30,asian_pacific,0,2001,1110192
30,asian_pacific,1,2001,36743
30,black,0,2001,2629718
30,black,1,2001,135379
30,white,0,2001,13465904
30,white,1,2001,3043711
35,american_indian,0,2001,183904
35,american_indian,1,2001,59063
35,asian_pacific,0,2001,1035924
35,asian_pacific,1,2001,32365
35,black,0,2001,2814560
35,black,1,2001,120486
35,white,0,2001,15238532
35,white,1,2001,2751084
40,american_indian,0,2001,185309
40,american_indian,1,2001,49552
40,asian_pacific,0,2001,959069
40,asian_pacific,1,2001,27117
40,black,0,2001,2779558
40,black,1,2001,100292
40,white,0,2001,16422552
40,white,1,2001,2292385
45,american_indian,0,2001,161623
45,american_indian,1,2001,37719
45,asian_pacific,0,2001,861696
45,asian_pacific,1,2001,20708
45,black,0,2001,2377814
45,black,1,2001,80262
45,white,0,2001,15385454
45,white,1,2001,1773707
50,american_indian,0,2001,137239
50,american_indian,1,2001,27231
50,asian_pacific,0,2001,737066
50,asian_pacific,1,2001,15596
50,black,0,2001,1978899
50,black,1,2001,61028
50,white,0,2001,14348077
50,white,1,2001,1382149
55,american_indian,0,2001,94985
55,american_indian,1,2001,16892
55,asian_pacific,0,2001,508249
55,asian_pacific,1,2001,9784
55,black,0,2001,1365442
55,black,1,2001,39978
55,white,0,2001,10959039
55,white,1,2001,974606
60,american_indian,0,2001,70690
60,american_indian,1,2001,11343
60,asian_pacific,0,2001,396002
60,asian_pacific,1,2001,6987
60,black,0,2001,1094579
60,black,1,2001,30256
60,white,0,2001,8784411
60,white,1,2001,742052
65,american_indian,0,2001,51709
65,american_indian,1,2001,8236
65,asian_pacific,0,2001,312564
65,asian_pacific,1,2001,5146
65,black,0,2001,910668
65,black,1,2001,23113
65,white,0,2001,7659662
65,white,1,2001,591135
70,american_indian,0,2001,37355
70,american_indian,1,2001,6237
70,asian_pacific,0,2001,248773
70,asian_pacific,1,2001,3878
70,black,0,2001,736590
70,black,1,2001,17297
70,white,0,2001,7295812
70,white,1,2001,476004
75,american_indian,0,2001,26414
75,american_indian,1,2001,4077
75,asian_pacific,0,2001,179143
75,asian_pacific,1,2001,2607
75,black,0,2001,567938
75,black,1,2001,11612
75,white,0,2001,6329862
75,white,1,2001,333760
80,american_indian,0,2001,15442
80,american_indian,1,2001,2261
80,asian_pacific,0,2001,103916
80,asian_pacific,1,2001,1428
80,black,0,2001,358602
80,black,1,2001,7023
80,white,0,2001,4460450
80,white,1,2001,189083
85,american_indian,0,2001,12653
85,american_indian,1,2001,1674
85,asian_pacific,0,2001,73783
85,asian_pacific,1,2001,1282
85,black,0,2001,309571
85,black,1,2001,5518
85,white,0,2001,3758700
85,white,1,2001,149313
0,american_indian,0,2002,194939
0,american_indian,1,2002,85908
0,asian_pacific,0,2002,863474
0,asian_pacific,1,2002,61304
0,black,0,2002,2933231
0,black,1,2002,191058
0,white,0,2002,11360597
0,white,1,2002,3738681
5,american_indian,0,2002,204298
5,american_indian,1,2002,82840
5,asian_pacific,0,2002,837314
5,asian_pacific,1,2002,54903
5,black,0,2002,3121802
5,black,1,2002,187820
5,white,0,2002,11971095
5,white,1,2002,3412345
10,american_indian,0,2002,238804
10,american_indian,1,2002,86741
10,asian_pacific,0,2002,853904
10,asian_pacific,1,2002,50104
10,black,0,2002,3386639
10,black,1,2002,175973
10,white,0,2002,13200801
10,white,1,2002,3268455
15,american_indian,0,2002,228154
15,american_indian,1,2002,85151
15,asian_pacific,0,2002,882760
15,asian_pacific,1,2002,44839
15,black,0,2002,3062650
15,black,1,2002,151259
15,white,0,2002,13062962
15,white,1,2002,3092595
20,american_indian,0,2002,191244
20,american_indian,1,2002,81040
20,asian_pacific,0,2002,1035077
20,asian_pacific,1,2002,47721
20,black,0,2002,2849746
20,black,1,2002,165884
20,white,0,2002,12479684
20,white,1,2002,3393369
25,american_indian,0,2002,160344
25,american_indian,1,2002,74916
25,asian_pacific,0,2002,1150623
25,asian_pacific,1,2002,43835
25,black,0,2002,2455159
25,black,1,2002,153692
25,white,0,2002,11316365
25,white,1,2002,3336406
30,american_indian,0,2002,167400
30,american_indian,1,2002,70232
30,asian_pacific,0,2002,1177878
30,asian_pacific,1,2002,40170
30,black,0,2002,2637231
30,black,1,2002,143712
30,white,0,2002,13265133
30,white,1,2002,3156550
35,american_indian,0,2002,178733
35,american_indian,1,2002,65685
35,asian_pacific,0,2002,1062790
35,asian_pacific,1,2002,34582
35,black,0,2002,2766518
35,black,1,2002,126405
35,white,0,2002,14690588
35,white,1,2002,2825917
40,american_indian,0,2002,186850
40,american_indian,1,2002,55412
40,asian_pacific,0,2002,987986
40,asian_pacific,1,2002,29748
40,black,0,2002,2801961
40,black,1,2002,105920
40,white,0,2002,16313042
40,white,1,2002,2408512
45,american_indian,0,2002,167415
45,american_indian,1,2002,42898
45,asian_pacific,0,2002,900666
45,asian_pacific,1,2002,22760
45,black,0,2002,2474715
45,black,1,2002,86460
45,white,0,2002,15670709
45,white,1,2002,1886665
50,american_indian,0,2002,139871
50,american_indian,1,2002,30810
50,asian_pacific,0,2002,774124
50,asian_pacific,1,2002,17113
50,black,0,2002,2051669
50,black,1,2002,65550
50,white,0,2002,14209843
50,white,1,2002,1450926
55,american_indian,0,2002,103335
55,american_indian,1,2002,19923
55,asian_pacific,0,2002,554704
55,asian_pacific,1,2002,11157
55,black,0,2002,1461994
55,black,1,2002,44397
55,white,0,2002,11891650
55,white,1,2002,1055907
60,american_indian,0,2002,74042
60,american_indian,1,2002,12600
60,asian_pacific,0,2002,420547
60,asian_pacific,1,2002,7604
60,black,0,2002,1127277
60,black,1,2002,31737
60,white,0,2002,9111328
60,white,1,2002,775130
65,american_indian,0,2002,53505
65,american_indian,1,2002,9263
65,asian_pacific,0,2002,330244
65,asian_pacific,1,2002,5622
65,black,0,2002,926882
65,black,1,2002,24737
65,white,0,2002,7674814
65,white,1,2002,613414
70,american_indian,0,2002,38515
70,american_indian,1,2002,6808
70,asian_pacific,0,2002,259079
70,asian_pacific,1,2002,4189
70,black,0,2002,741529
70,black,1,2002,18171
70,white,0,2002,7189146
70,white,1,2002,492617
75,american_indian,0,2002,26996
75,american_indian,1,2002,4524
75,asian_pacific,0,2002,188633
75,asian_pacific,1,2002,2791
75,black,0,2002,575248
75,black,1,2002,12386
75,white,0,2002,6309588
75,white,1,2002,350295
80,american_indian,0,2002,16234
80,american_indian,1,2002,2584
80,asian_pacific,0,2002,112927
80,asian_pacific,1,2002,1587
80,black,0,2002,368753
80,black,1,2002,7603
80,white,0,2002,4578190
80,white,1,2002,206525
85,american_indian,0,2002,12624
85,american_indian,1,2002,1833
85,asian_pacific,0,2002,79654
85,asian_pacific,1,2002,1350
85,black,0,2002,306900
85,black,1,2002,5756
85,white,0,2002,3806447
85,white,1,2002,154244
0,american_indian,0,2003,195633
0,american_indian,1,2003,93912
0,asian_pacific,0,2003,903000
0,asian_pacific,1,2003,65535
0,black,0,2003,2926764
0,black,1,2003,195798
0,white,0,2003,11313114
0,white,1,2003,3898690
5,american_indian,0,2003,199376
5,american_indian,1,2003,88390
5,asian_pacific,0,2003,851406
5,asian_pacific,1,2003,57903
5,black,0,2003,3049985
5,black,1,2003,194039
5,white,0,2003,11742596
5,white,1,2003,3437156
10,american_indian,0,2003,237934
10,american_indian,1,2003,95753
10,asian_pacific,0,2003,875799
10,asian_pacific,1,2003,54014
10,black,0,2003,3441025
10,black,1,2003,188267
10,white,0,2003,13110017
10,white,1,2003,3412544
15,american_indian,0,2003,230284
15,american_indian,1,2003,94715
15,asian_pacific,0,2003,902588
15,asian_pacific,1,2003,48217
15,black,0,2003,3121054
15,black,1,2003,160711
15,white,0,2003,13071688
15,white,1,2003,3167909
20,american_indian,0,2003,197400
20,american_indian,1,2003,90204
20,asian_pacific,0,2003,1072603
20,asian_pacific,1,2003,51009
20,black,0,2003,2901262
20,black,1,2003,171956
20,white,0,2003,12636203
20,white,1,2003,3471051
25,american_indian,0,2003,159733
25,american_indian,1,2003,83556
25,asian_pacific,0,2003,1171159
25,asian_pacific,1,2003,47687
25,black,0,2003,2451808
25,black,1,2003,163686
25,white,0,2003,11289238
25,white,1,2003,3404718
30,american_indian,0,2003,166201
30,american_indian,1,2003,78384
30,asian_pacific,0,2003,1226832
30,asian_pacific,1,2003,43401
30,black,0,2003,2621946
30,black,1,2003,150859
30,white,0,2003,12937899
30,white,1,2003,3246688
35,american_indian,0,2003,173294
35,american_indian,1,2003,72590
35,asian_pacific,0,2003,1089505
35,asian_pacific,1,2003,37015
35,black,0,2003,2713952
35,black,1,2003,131746
35,white,0,2003,14140756
35,white,1,2003,2905301
