"year","race","opioid_type","std_rate","var","sd"
1999,"black","drug",7.57892405328305,0.0236735891477618,0.153862240812234
2000,"black","drug",7.27093400168458,0.0220942716212753,0.148641419601924
2001,"black","drug",7.55212615695546,0.0225049104260156,0.150016367193769
2002,"black","drug",8.13343346965586,0.0236775263990978,0.15387503500925
2003,"black","drug",8.14290540119742,0.023400603440475,0.152972557801963
2004,"black","drug",8.1902190121354,0.0231007674636591,0.151989366284813
2005,"black","drug",9.24271351153261,0.0255065191144362,0.159707605061363
2006,"black","drug",10.6343863882117,0.0289180323766736,0.170053028131444
2007,"black","drug",9.55701332286382,0.0255330837049682,0.159790749747813
2008,"black","drug",8.29460936777993,0.0218412937309784,0.147788002662525
2009,"black","drug",8.17362760974449,0.0211474897416304,0.145421765020338
2010,"black","drug",7.89543828386164,0.020090838601648,0.141742155344301
2011,"black","drug",8.47227029828864,0.021318785497064,0.146009539061885
2012,"black","drug",8.64328947738221,0.0214868402372536,0.146583901698835
2013,"black","drug",9.499172168274,0.0231934719839629,0.152294031347138
2014,"black","drug",10.4086362500549,0.0252661841214378,0.158953402358798
2015,"black","drug",12.0697145668117,0.0290104467938869,0.170324533740407
2016,"black","drug",16.9541653356296,0.0401342776244702,0.200335412806798
2017,"black","drug",20.3742380921214,0.0477236999915891,0.218457547344076
2018,"black","drug",20.9317694864184,0.0484310491390488,0.220070554911485
2019,"black","drug",24.3968354558692,0.0560989354692308,0.236852138409664
1999,"total","drug",6.15253766025514,0.00225496479763043,0.0474864696269414
2000,"total","drug",6.16257725391749,0.00218616995517764,0.0467564963954491
2001,"total","drug",6.78974925108753,0.00238194138437672,0.0488051368646449
2002,"total","drug",8.15807492808155,0.00283913272141048,0.0532835126602074
2003,"total","drug",8.86639307953643,0.00306250318477236,0.0553398878276091
2004,"total","drug",9.33528658567027,0.00319787281439931,0.0565497375272362
2005,"total","drug",10.0234686864662,0.00340077640631169,0.0583161761976185
2006,"total","drug",11.4433684567398,0.00385083273243323,0.0620550782163171
2007,"total","drug",11.8512278193738,0.0039576891265556,0.0629101671159408
2008,"total","drug",11.8816059007621,0.00394632146627884,0.0628197537903392
2009,"total","drug",11.9486308279927,0.00394678007096193,0.0628234038473078
2010,"total","drug",12.2674387194475,0.00403172250275233,0.0634958463425154
2011,"total","drug",13.1576688562955,0.00431661886792929,0.0657009807227357
2012,"total","drug",13.1065500355118,0.00427921904505872,0.0654157400405951
2013,"total","drug",13.7458392926964,0.00445925269330946,0.0667776361764136
2014,"total","drug",14.6662166505252,0.00475693792741539,0.0689705584102042
2015,"total","drug",16.2963099399848,0.00528319490331801,0.0726855893786245
2016,"total","drug",19.7290561476225,0.00638352931312535,0.0798969918903418
2017,"total","drug",21.6970763219491,0.00700356596151309,0.0836873106361597
2018,"total","drug",20.6803426728165,0.00664709372029012,0.0815297106599191
2019,"total","drug",21.6038079891804,0.00692605060423586,0.0832228971151321
1999,"white","drug",6.2090049647019,0.00274793495544642,0.0524207492835272
2000,"white","drug",6.37375104451397,0.00277083824641646,0.0526387523257957
2001,"white","drug",7.11266515226291,0.00307323085131984,0.0554367283605358
2002,"white","drug",8.69491758659785,0.00374323088959706,0.0611819490503291
2003,"white","drug",9.57937101264201,0.00411298578338355,0.0641325641416555
2004,"white","drug",10.1614801042212,0.0043484984217764,0.065943145373696
2005,"white","drug",10.8746710327083,0.00463137012387044,0.068054170510487
2006,"white","drug",12.4576811288322,0.0052896179574287,0.0727297597784339
2007,"white","drug",13.1745508521616,0.00557870433341576,0.0746907245474012
2008,"white","drug",13.4341807559336,0.00568134576296233,0.0753747024071228
2009,"white","drug",13.5316417599404,0.00571370265465003,0.0755890379264747
2010,"white","drug",14.0554196236074,0.00594024266031865,0.0770729697125954
2011,"white","drug",15.0850740673617,0.00638898779806577,0.0799311441058225
2012,"white","drug",15.0284392051989,0.0063605899166753,0.0797533066190694
2013,"white","drug",15.7471137756973,0.00664957004249807,0.0815448958703
2014,"white","drug",16.7946396999525,0.0071207450460568,0.084384507144717
2015,"white","drug",18.675414675786,0.00795967601912135,0.0892170164213159
2016,"white","drug",22.3523216232319,0.00957192962126865,0.0978362387935506
2017,"white","drug",24.3439266563134,0.0104418733527167,0.102185485039299
2018,"white","drug",22.9230203633576,0.00982829712785947,0.099137768422834
2019,"white","drug",23.485158358689,0.0100749078949415,0.100373840690399
1999,"black","heroin",0.832654002046197,0.00259714352145311,0.050962177361776
2000,"black","heroin",0.884891981651121,0.00265569986062927,0.0515334829080014
2001,"black","heroin",0.755264326204267,0.00223019996809486,0.0472249930449424
2002,"black","heroin",0.911662797844844,0.00264688985147922,0.0514479334033858
2003,"black","heroin",0.769062058237814,0.00217798346344317,0.0466688703896202
2004,"black","heroin",0.620852335950879,0.0017319742545196,0.0416169947800126
2005,"black","heroin",0.779927079631863,0.002147846778024,0.0463448678714699
2006,"black","heroin",0.729064932284641,0.0019573202712327,0.0442416124393393
2007,"black","heroin",0.76080998017957,0.00202606713326027,0.0450118554745333
2008,"black","heroin",0.774354318122262,0.00199472670545538,0.0446623634109905
2009,"black","heroin",0.884833632544191,0.00225188053843212,0.0474539833779222
2010,"black","heroin",0.749375790303983,0.00187765557254318,0.0433319232499918
2011,"black","heroin",0.965606066254316,0.00239079178824596,0.0488957236192078
2012,"black","heroin",1.29535158144477,0.00318708079086743,0.056454236252627
2013,"black","heroin",2.0162412137598,0.00484686598297087,0.0696194368188286
2014,"black","heroin",2.50950603593633,0.0060309051587475,0.0776589026367711
2015,"black","heroin",3.11516603346307,0.0074224268498562,0.0861535074727443
2016,"black","heroin",4.48877678216014,0.0105789991524308,0.102854261712536
2017,"black","heroin",4.90312838816721,0.0113499451844496,0.106536121500877
2018,"black","heroin",4.88873061594424,0.0112166268863286,0.105908577963867
2019,"black","heroin",5.01977675555122,0.0114577283542509,0.107040778931447
1999,"total","heroin",0.716237202410856,0.00026211024059349,0.0161898190414065
2000,"total","heroin",0.650101642283159,0.00022994448259977,0.0151639204231548
2001,"total","heroin",0.621625576939832,0.0002174970993504,0.0147477828621932
2002,"total","heroin",0.726541214797641,0.00025310806021323,0.0159093702016525
2003,"total","heroin",0.716792033515437,0.00024778609627345,0.0157412228328504
2004,"total","heroin",0.639670140938492,0.0002190677753994,0.0148009383283426
2005,"total","heroin",0.67773004165615,0.000230289611251,0.0151752960844591
2006,"total","heroin",0.69637384589062,0.00023489695792295,0.0153263484862817
2007,"total","heroin",0.796466749712308,0.00026775746780783,0.0163632963613029
2008,"total","heroin",1.00558789204098,0.00033754214325856,0.0183723200292875
2009,"total","heroin",1.07348981116877,0.00035776127492343,0.0189145783702262
2010,"total","heroin",0.992245205339721,0.00033089156662887,0.0181904251360124
2011,"total","heroin",1.42226465421755,0.00047060064481743,0.0216933318053597
2012,"total","heroin",1.91625711118237,0.00063513311374203,0.0252018474271635
2013,"total","heroin",2.64848106063883,0.00087347356509485,0.029554586193937
2014,"total","heroin",3.3870795421431,0.0011180184132354,0.0334367823397438
2015,"total","heroin",4.14273368325006,0.0013644205104153,0.0369380631654571
2016,"total","heroin",4.89981433820938,0.00160667050906736,0.0400832946383822
2017,"total","heroin",4.86141770260507,0.00158474534237683,0.0398088600989382
2018,"total","heroin",4.69090305059283,0.00152616344153408,0.0390661418818659
2019,"total","heroin",4.35489457841053,0.00141099855578538,0.0375632607182255
1999,"white","heroin",0.74067579015066,0.00032939770044422,0.0181493168037869
2000,"white","heroin",0.66313109897311,0.00028980978000772,0.0170238003984927
2001,"white","heroin",0.65271603174264,0.00028377194519428,0.016845531905947
2002,"white","heroin",0.758969203514857,0.00032991208324623,0.0181634821343879
2003,"white","heroin",0.767705023469187,0.00033234408252712,0.018230306704143
2004,"white","heroin",0.69788048678593,0.00030180517320841,0.0173725407816016
2005,"white","heroin",0.72317126729093,0.00031187159596006,0.0176598866349719
2006,"white","heroin",0.758596247053856,0.00032616699775942,0.018060094068399
2007,"white","heroin",0.878993954928686,0.00037835170173409,0.0194512647849462
2008,"white","heroin",1.15181046365128,0.00049975539818091,0.0223552096429649
2009,"white","heroin",1.21738290087656,0.00052560132314184,0.0229259966662704
2010,"white","heroin",1.14451036816512,0.000497671434302,0.0223085506992722
2011,"white","heroin",1.65535263579919,0.00071697039800046,0.026776302918821
2012,"white","heroin",2.24546096249731,0.00097693989753276,0.0312560377772481
2013,"white","heroin",3.07245807488798,0.00133800729672183,0.0365787820562936
2014,"white","heroin",3.94974685646477,0.00172595744876143,0.0415446440442258
2015,"white","heroin",4.82821734535828,0.00211362309433581,0.0459741568094055
2016,"white","heroin",5.59838503818339,0.00245123956514626,0.0495099945985279
2017,"white","heroin",5.47870140202621,0.00239609811327934,0.0489499551918011
2018,"white","heroin",5.27175766142069,0.00230713669761744,0.0480326628203917
2019,"white","heroin",4.79251308247121,0.0020941920535725,0.0457623431827141
1999,"black","methadone",0.213034418528741,0.00064823124303019,0.02546038575965
2000,"black","methadone",0.204579306474563,0.00060477697369582,0.0245922136802651
2001,"black","methadone",0.30720146084136,0.00089776589491828,0.0299627417790542
2002,"black","methadone",0.411065694358989,0.00118081929707566,0.0343630513353465
2003,"black","methadone",0.421682861901743,0.00118923808141584,0.0344853313948966
2004,"black","methadone",0.600302160400672,0.00164245363235643,0.0405271962064541
2005,"black","methadone",0.72076587416385,0.00196432038335143,0.0443206541394803
2006,"black","methadone",0.859974164231621,0.00230991726718265,0.0480615986748532
2007,"black","methadone",0.822832863102595,0.00214635054066084,0.0463287226314393
2008,"black","methadone",0.645825048266399,0.0016699696321438,0.0408652619243264
2009,"black","methadone",0.678139019485826,0.0017060075003022,0.0413038436504667
2010,"black","methadone",0.61847252827603,0.00152641842587275,0.0390694052408371
2011,"black","methadone",0.689699863874501,0.0017040904766748,0.0412806307688582
2012,"black","methadone",0.584363876029973,0.00141857915234409,0.0376640299535789
2013,"black","methadone",0.577302434942129,0.00139491748536051,0.0373485941550751
2014,"black","methadone",0.608679475450404,0.00145113782176862,0.0380938029312987
2015,"black","methadone",0.579093770930291,0.00136238677696019,0.0369105239323447
2016,"black","methadone",0.676237987758313,0.00154843333266005,0.0393501376447408
2017,"black","methadone",0.757362495181245,0.00171832938145561,0.0414527367185281
2018,"black","methadone",0.732389750109662,0.00162698129406666,0.0403358561836322
2019,"black","methadone",0.770038684192733,0.00168688617890593,0.0410717199409269
1999,"total","methadone",0.287040445666321,0.00010513558562287,0.0102535645325355
2000,"total","methadone",0.349601488085799,0.00012401689061388,0.011136287110787
